Código CNO;Nombre CNO;Código DEN C.N.O.;Nombre DENOM C.N.O.;Código CUOC;Nombre CUOC;Código DEN CUOC;Nombre DENOM CUOC
2132;Ingenieros Mecánicos;D-2132.006;Ingeniero mantenimiento maquinaria industrial;21.441.016;Ingeniero de mantenimiento de maquinaria industrial;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.007;Ingeniero mantenimiento mecánico;21.441.017;Ingeniero de mantenimiento mecánico;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.008;Ingeniero mantenimiento y operación maquinaria de construcción;21.441.018;Ingeniero de mantenimiento y operación de maquinaria de construcción;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.009;Ingeniero matricería;21.441.021;Ingeniero de matricería;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.011;Ingeniero mecánico aeromecánica;21.443.008;Ingeniero mecánico de aeromecánica;21443;Ingenieros aeronáuticos
2132;Ingenieros Mecánicos;D-2132.012;Ingeniero mecánico aire acondicionado;21.441.034;Ingeniero mecánico de aire acondicionado;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.014;Ingeniero mecánico calefacción;21.441.035;Ingeniero mecánico de calefacción;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.015;Ingeniero mecánico calefacción, ventilación y aire acondicionado;21.441.032;Ingeniero mecánico calefacción ventilación y aire acondicionado;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.016;Ingeniero mecánico diseño de máquinas;21.441.036;Ingeniero mecánico de diseño de máquinas;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.017;Ingeniero mecánico diseño y construcción maquinaria y herramientas industriales;21.441.037;Ingeniero mecánico de diseño y construcción de maquinaria y herramientas industriales;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.018;Ingeniero mecánico hidráulica;21.441.053;Ingeniero mecánico hidráulico;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.019;Ingeniero mecánico instalaciones de gas;21.441.038;Ingeniero mecánico de instalaciones de gas;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.020;Ingeniero mecánico mantenimiento aeronáutico;21.443.009;Ingeniero mecánico de mantenimiento aeronáutico;21443;Ingenieros aeronáuticos
2132;Ingenieros Mecánicos;D-2132.021;Ingeniero mecánico mantenimiento herramientas industriales;21.441.040;Ingeniero mecánico de mantenimiento de herramientas industriales;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.022;Ingeniero mecánico mantenimiento maquinaria industrial;21.441.041;Ingeniero mecánico de mantenimiento de maquinaria industrial;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.023;Ingeniero mecánico metalmecánica;21.441.043;Ingeniero mecánico de metalmecánica;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.024;Ingeniero mecánico motores diésel;21.441.046;Ingeniero mecánico de motores diésel;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.025;Ingeniero mecánico motores marinos;21.442.008;Ingeniero mecánico de motores marinos;21442;Ingenieros navales
2132;Ingenieros Mecánicos;D-2132.026;Ingeniero mecánico recursos energéticos;21.441.047;Ingeniero mecánico de recursos energéticos;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.027;Ingeniero mecánico refrigeración y aire acondicionado;21.441.049;Ingeniero mecánico de refrigeración y aire acondicionado;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.028;Ingeniero mecánico térmica;21.441.050;Ingeniero mecánico de térmica;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.029;Ingeniero refrigeración y aire acondicionado;21.441.027;Ingeniero de refrigeración y aire acondicionado;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.030;Ingeniero soldadura;21.441.028;Ingeniero de soldadura;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.031;Profesional cbm mecánico (Res. 2616/2016);21.441.055;Profesional CBM mecánico (mantenimiento basado en condición);21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.033;Profesional junior en integridad mecánica (Res. 2616/2016);21.441.056;Profesional en integridad mecánica;21441;Ingenieros mecánicos
2132;Ingenieros Mecánicos;D-2132.034;Superintendente/ jefe/ coordinador de mantenimiento y operación (O&G) (Res. 2616/2016);13.220.023;Jefe de operaciones producción de petróleo;13220;Directores y gerentes de producción primaria (excepto agricultura)
2132;Ingenieros Mecánicos;D-2132.035;Ingeniero coordinador MCC (Maintenance Control Center);Sin clasificación en CUOC 2023;;;
2132;Ingenieros Mecánicos;D-2132.036;Ingeniero jefe mantenimiento aeronáutico;Sin clasificación en CUOC 2023;;;
2132;Ingenieros Mecánicos;D-2132.037;Ingeniero jefe programación mantenimiento aeronáutico;Sin clasificación en CUOC 2023;;;
2132;Ingenieros Mecánicos;D-2132.038;Ingeniero de planeación de mantenimiento;Sin clasificación en CUOC 2023;;;
2133;Ingenieros Electricistas;D-2133.001;Ingeniero diseño eléctrico;21.510.005;Ingeniero de diseño eléctrico;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.002;Ingeniero diseño instalaciones eléctricas;21.510.004;Ingeniero de diseño de instalaciones eléctricas;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.003;Ingeniero distribución de energía eléctrica;21.510.007;Ingeniero de distribución de energía eléctrica;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.004;Ingeniero electricidad industrial y de potencia;21.510.008;Ingeniero de electricidad industrial y de potencia;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.006;Ingeniero electricista diseño instrumentación industrial;21.510.021;Ingeniero electricista de diseño de instrumentación industrial;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.007;Ingeniero electricista generación de energía eléctrica;21.510.022;Ingeniero electricista de generación de energía eléctrica;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.008;Ingeniero electricista iluminación;21.510.023;Ingeniero electricista de iluminación;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.009;Ingeniero electricista instalación y mantenimiento tendidos eléctricos;21.510.024;Ingeniero electricista de instalación y mantenimiento de tendidos eléctricos;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.010;Ingeniero electricista líneas eléctricas;21.510.025;Ingeniero electricista de líneas eléctricas;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.011;Ingeniero electricista producción de energía eléctrica;21.510.026;Ingeniero electricista de producción de energía eléctrica;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.012;Ingeniero electricista transporte y distribución de energía;21.510.027;Ingeniero electricista de transporte y distribución de energía;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.013;Ingeniero electromecánica;21.510.009;Ingeniero de electromecánica;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.016;Ingeniero eléctrico producción energía;21.510.029;Ingeniero eléctrico de producción de energía;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.017;Ingeniero mantenimiento eléctrico;21.510.015;Ingeniero de mantenimiento eléctrico;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.018;Ingeniero redes eléctricas;21.510.016;Ingeniero de redes eléctricas;21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.019;Profesional cbm eléctrico (Res. 2616/2016);21.510.033;Profesional CBM eléctrico (mantenimiento basado en condición);21510;Ingenieros electricistas
2133;Ingenieros Electricistas;D-2133.021;Profesional de confiabilidad (Res. 2616/2016);21.510.035;Profesional de confiabilidad industrial petróleo y gas;21510;Ingenieros electricistas
2134;Ingenieros  Electrónicos;D-2134.015;Ingeniero electrónico de diseño e instrumentación industrial;21.522.013;Ingeniero electrónico de diseño de instrumentación industrial;21522;Ingenieros de automatización e instrumentación
2134;Ingenieros  Electrónicos;D-2134.034;Profesional junior cbm (Res. 2616/2016);21.510.034;Profesional CBM electromecánico (mantenimiento basado en condición);21510;Ingenieros electricistas
2134;Ingenieros  Electrónicos;D-2134.035;Ingeniero de seguridad electrónica;Sin clasificación en CUOC 2023;;;
2135;Ingenieros Químicos;D-2135.002;Ingeniero petroquímica;21.450.008;Ingeniero de petroquímica;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.003;Ingeniero procesamiento químico;21.450.012;Ingeniero de procesamiento químico;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.004;Ingeniero procesamiento refinería petróleo;21.450.011;Ingeniero de procesamiento de refinería de petróleo;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.005;Ingeniero procesos químicos industriales;21.450.015;Ingeniero de procesos químicos industriales;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.006;Ingeniero proyectos químicos;21.450.018;Ingeniero de proyectos químicos;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.008;Ingeniero químico alimentos y bebidas;21.450.024;Ingeniero químico de alimentos y bebidas;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.009;Ingeniero químico carburantes;21.450.026;Ingeniero químico de carburantes;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.010;Ingeniero químico caucho;21.450.027;Ingeniero químico de caucho;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.011;Ingeniero químico colores y pinturas;21.450.028;Ingeniero químico de colores y pinturas;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.012;Ingeniero químico fibras textiles;21.450.029;Ingeniero químico de fibras textiles;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.013;Ingeniero químico investigación;21.450.030;Ingeniero químico de investigación;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.014;Ingeniero químico medio ambiente;21.450.031;Ingeniero químico de medio ambiente;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.015;Ingeniero químico papel;21.450.033;Ingeniero químico de papel;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.016;Ingeniero químico petróleo y gas natural;21.450.034;Ingeniero químico de petróleo y gas natural;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.017;Ingeniero químico plásticos;21.450.035;Ingeniero químico de plásticos;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.018;Ingeniero químico procesamiento;21.450.036;Ingeniero químico de procesamiento;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.019;Ingeniero químico producción;21.450.038;Ingeniero químico de producción;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.020;Ingeniero químico refinería petróleo;21.450.039;Ingeniero químico de refinería de petróleo;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.030;Ingeniero químico de soporte;21.450.058;Ingeniero de soporte químico;21450;Ingenieros químicos
2135;Ingenieros Químicos;D-2135.032;Analista de laboratorio de combustibles;Sin clasificación en CUOC 2023;;;
2136;Ingenieros de Automatización e Instrumentación;D-2136.005;Ingenieros de instrumentación y control de procesos;21.522.009;Ingeniero de instrumentación y control de procesos;21522;Ingenieros de automatización e instrumentación
2136;Ingenieros de Automatización e Instrumentación;D-2136.006;Ingeniero de automatización/ instrumentación y control (O&G) (Res. 2616/2016);21.522.005;Ingeniero de automatización/ instrumentación y control;21522;Ingenieros de automatización e instrumentación
2137; Ingenieros  de Telecomunicaciones;D-2137.011;Especialista de seguimiento en radares;Sin clasificación en CUOC 2023;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.002;Ingeniero asesor organización industrial;21.410.004;Ingeniero asesor de organización industrial;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.003;Ingeniero calidad;21.410.005;Ingeniero de calidad;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.004;Ingeniero control de calidad;21.410.006;Ingeniero de control de calidad;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.005;Ingeniero estudio de tiempos y movimientos;21.410.010;Ingeniero de estudio de tiempos y movimientos;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.006;Ingeniero fabricación;21.410.012;Ingeniero de fabricación;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.010;Ingeniero industrial logística de producción y distribución;21.410.030;Ingeniero industrial de logística de producción y distribución;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.011;Ingeniero industrial manufactura;21.410.031;Ingeniero industrial de manufactura;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.012;Ingeniero industrial planta;21.410.033;Ingeniero industrial de planta;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.014;Ingeniero organización industrial;21.410.015;Ingeniero de organización industrial;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.015;Ingeniero organización y métodos;21.410.016;Ingeniero de organización y métodos;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.016;Ingeniero planta producción;21.410.018;Ingeniero de planta de producción;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.017;Ingeniero procesos industriales;21.410.022;Ingeniero de procesos industriales;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.018;Ingeniero seguridad e higiene ocupacional;21.499.012;Ingeniero de seguridad e higiene ocupacional;21499;Ingenieros no clasificados en otras ocupaciones
2141;Ingenieros Industriales y de Fabricación;D-2141.020;Ingeniero seguridad industrial y ambiental;21.499.014;Ingeniero de seguridad industrial y ambiental;21499;Ingenieros no clasificados en otras ocupaciones
2141;Ingenieros Industriales y de Fabricación;D-2141.031;Consultor de mejoramiento de la productividad y el rendimiento;21.410.041;Consultor de mejoramiento de la productividad;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.033;Coordinador de planeación de la producción;Sin clasificación en CUOC 2023;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.034;Coordinador producción;Sin clasificación en CUOC 2023;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.037;Ingeniero industrial de soporte;21.410.044;Ingeniero de soporte industrial;21410;Ingenieros industriales y de producción
2141;Ingenieros Industriales y de Fabricación;D-2141.038;Ingeniero industrial desarrollador de productos;21.410.045;Ingeniero desarrollador de productos industriales;21410;Ingenieros industriales y de producción
2142;Ingenieros de Materiales y Metalurgia;D-2142.002;Ingeniero cerámica;21.491.003;Ingeniero de cerámicas;21491;Ingenieros de materiales
2142;Ingenieros de Materiales y Metalurgia;D-2142.003;Ingeniero en materiales;21.491.005;Ingeniero de materiales;21491;Ingenieros de materiales
2142;Ingenieros de Materiales y Metalurgia;D-2142.004;Ingeniero fundición;21.462.001;Ingeniero de fundición;21462;Ingenieros metalúrgicos
2142;Ingenieros de Materiales y Metalurgia;D-2142.005;Ingeniero metalúrgia;21.462.002;Ingeniero de metalurgia;21462;Ingenieros metalúrgicos
2142;Ingenieros de Materiales y Metalurgia;D-2142.007;Ingeniero metalúrgico producción y afino de metales;21.462.006;Ingeniero metalúrgico de producción y afino de metales;21462;Ingenieros metalúrgicos
2142;Ingenieros de Materiales y Metalurgia;D-2142.008;Ingeniero metalúrgico tratamiento de metales;21.462.007;Ingeniero metalúrgico de tratamiento metales;21462;Ingenieros metalúrgicos
2142;Ingenieros de Materiales y Metalurgia;D-2142.009;Ingeniero producción y afino de metales;21.462.003;Ingeniero de producción y afino de metales;21462;Ingenieros metalúrgicos
2142;Ingenieros de Materiales y Metalurgia;D-2142.010;Ingeniero siderurgia;21.462.004;Ingeniero de siderurgia;21462;Ingenieros metalúrgicos
2143;Ingenieros de Minas;D-2143.002;Ingeniero de minas explotación;21.461.004;Ingeniero de minas de explotación;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.003;Ingeniero de minas explotación metales;21.461.005;Ingeniero de minas de explotación de metales;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.005;Ingeniero minas minería aurífera aluvial;21.461.006;Ingeniero de minas de minería aurífera aluvial;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.006;Ingeniero minas producción;21.461.007;Ingeniero de minas de producción;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.007;Ingeniero minas seguridad;21.461.008;Ingeniero de minas de seguridad;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.008;Ingeniero minas ventilación;21.461.009;Ingeniero de minas de ventilación;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.009;Ingeniero minero;21.461.010;Ingeniero de minería;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.010;Ingeniero minería bajo tierra;21.461.012;Ingeniero de minería bajo tierra;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.011;Ingeniero minería de cielo abierto;21.461.011;Ingeniero de minería a cielo abierto;21461;Ingenieros de minas
2143;Ingenieros de Minas;D-2143.012;Ingeniero planificación minas;21.461.013;Ingeniero de planificación minas;21461;Ingenieros de minas
2144;Ingenieros de Petróleos;D-2144.001;Ingeniero de perforación petróleo y gas;21.463.004;Ingeniero de perforación de petróleo y gas;21463;Ingenieros de petróleo y gas
2144;Ingenieros de Petróleos;D-2144.002;Ingeniero de petróleo;21.463.006;Ingeniero de petróleos;21463;Ingenieros de petróleo y gas
2144;Ingenieros de Petróleos;D-2144.006;Ingeniero producción de petróleo y gas;21.463.009;Ingeniero de producción de petróleo y gas;21463;Ingenieros de petróleo y gas
2144;Ingenieros de Petróleos;D-2144.009;Coordinador de facilidades y producción (Res. 2616/2016);31.213.008;Coordinador de facilidades y producción de petróleo y gas;31213;Supervisores y analistas de producción de hidrocarburos
2144;Ingenieros de Petróleos;D-2144.010;Lider de medición (O&G) (Res. 2616/2016);21.450.042;Líder de medición petróleo y gas;21450;Ingenieros químicos
2145;Ingenieros de Tecnologías de la Información;D-2145.001;Auditor de TI;25.290.011;Auditor de TI (Tecnologías de la Información);25290;Profesionales en bases de datos y en redes de computadores no clasificados en otras ocupaciones
2145;Ingenieros de Tecnologías de la Información;D-2145.003;Ingeniero de análisis y diseño sistemas;25.110.046;Ingeniero de análisis y diseño de sistemas;25110;Analistas de sistemas
2145;Ingenieros de Tecnologías de la Información;D-2145.012;Ingeniero de soporte de computación;25.110.050;Ingeniero de soporte computación;25110;Analistas de sistemas
2145;Ingenieros de Tecnologías de la Información;D-2145.016;Ingenieros en tecnologías de la información;25.110.051;Ingeniero en tecnologías de la información;25110;Analistas de sistemas
2145;Ingenieros de Tecnologías de la Información;D-2145.017;Analista de evaluación de proyectos de TI;25.110.004;Analista de evaluación de proyectos de TI (Tecnologías de la Información);25110;Analistas de sistemas
2145;Ingenieros de Tecnologías de la Información;D-2145.018;Analista redes y sistemas TI;25.230.007;Analista redes y sistemas TI (Tecnologías de la Información);25230;Profesionales en redes de computadores
2145;Ingenieros de Tecnologías de la Información;D-2145.020;Auditor de sistemas TI;25.290.009;Auditor de sistemas TI (Tecnologías de la Información);25290;Profesionales en bases de datos y en redes de computadores no clasificados en otras ocupaciones
2145;Ingenieros de Tecnologías de la Información;D-2145.022;Consultor TI;25.110.038;Consultor TI (Tecnologías de la Información);25110;Analistas de sistemas
2145;Ingenieros de Tecnologías de la Información;D-2145.023;Gestor de proveedores de TI;24.340.016;Gestor de proveedores de TI (Tecnologías de la Información);24340;Profesionales de ventas de tecnología de la información y las comunicaciones
2146;Otros Ingenieros n.c.a.;D-2146.001;Arquitecto de construcción naval;21.442.001;Arquitecto de construcciones navales;21442;Ingenieros navales
2146;Otros Ingenieros n.c.a.;D-2146.013;Ingeniero mecánico construcción embarcaciones;21.442.007;Ingeniero mecánico de construcción de embarcaciones;21442;Ingenieros navales
2146;Otros Ingenieros n.c.a.;D-2146.016;Ingeniero procesamiento de alimentos;21.450.010;Ingeniero de procesamiento de alimentos;21450;Ingenieros químicos
2146;Otros Ingenieros n.c.a.;D-2146.017;Ingeniero recursos naturales y del medio ambiente;21.430.012;Ingeniero de recursos naturales y medio ambiente;21430;Ingenieros medioambientales
2146;Otros Ingenieros n.c.a.;D-2146.018;Ingeniero saneamiento y desarrollo ambiental;21.430.013;Ingeniero de saneamiento y desarrollo ambiental;21430;Ingenieros medioambientales
2146;Otros Ingenieros n.c.a.;D-2146.020;Diseñador de aeronaves;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.021;Diseñador de espacios aéreos;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.022;Diseñador de procedimientos aeronáuticos;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.024;Ingeniero aeronáutico de control de calidad;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.025;Ingeniero aeronáutico de ensayos en tierra;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.026;Ingeniero aronáutico de ensayos en vuelo;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.027;Ingeniero coordinador SMS aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.028;Ingeniero de diseño aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.029;Ingeniero jefe de soporte aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.030;Ingeniero de monitoreo de mantenimiento aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.031;Ingeniero de operaciones aeronáuticas;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.033;Ingeniero de sistemas operacionales aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.034;Ingeniero de soporte aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.035;Ingeniero de validación aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.037;Ingeniero jefe aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.038;Ingeniero jefe de confiabilidad aeronáutica;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.039;Ingeniero jefe de diseño y desarrollo aeronáutico;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.040;Ingeniero jefe de operaciones aeronáuticas;Sin clasificación en CUOC 2023;;;
2146;Otros Ingenieros n.c.a.;D-2146.041;Ingeniero jefe de producción aeronáutica;Sin clasificación en CUOC 2023;;;
2151;Arquitectos;D-2151.002;Arquitecto construcción industrial;21.610.004;Arquitecto de construcción industrial;21610;Arquitectos
2151;Arquitectos;D-2151.003;Arquitecto construcción residencial;21.610.005;Arquitecto de construcción residencial;21610;Arquitectos
2151;Arquitectos;D-2151.005;Arquitecto edificaciones;21.610.006;Arquitecto de edificaciones;21610;Arquitectos
2151;Arquitectos;D-2151.006;Arquitecto interiores edificios;21.610.008;Arquitecto de interiores de edificios;21610;Arquitectos
2151;Arquitectos;D-2151.007;Arquitecto jefe;13.230.019;Jefe arquitecto;13230;Directores y gerentes de empresas de construcción
2151;Arquitectos;D-2151.016;Arquitecto especialista en terminales aéreas;Sin clasificación en CUOC 2023;;;
2152;Urbanistas y Planificadores del Uso del Suelo;D-2152.002;Planificador espacios comunitarios;21.640.005;Planificador de espacios comunitarios;21640;Planificadores urbanos, regionales y de tránsito
2152;Urbanistas y Planificadores del Uso del Suelo;D-2152.003;Planificador medio ambiente;21.430.016;Planificador del medio ambiente;21430;Ingenieros medioambientales
2152;Urbanistas y Planificadores del Uso del Suelo;D-2152.004;Planificador parques;21.640.007;Planificador de parques;21640;Planificadores urbanos, regionales y de tránsito
2152;Urbanistas y Planificadores del Uso del Suelo;D-2152.005;Planificador tránsito;21.640.009;Planificador de tránsito;21640;Planificadores urbanos, regionales y de tránsito
2153;Ingenieros Topográficos;D-2153.017;Profesional topográfico SIG;21.650.030;Profesional topográfico SIG (sistema de información geográfica);21650;Cartógrafos e ingenieros topográficos y catastrales
2153;Ingenieros Topográficos;D-2153.021;Ingeniero cartografía;21.650.015;Ingeniero de cartografía;21650;Cartógrafos e ingenieros topográficos y catastrales
2154;Diseñadores Industriales;D-2154.001;Diseñador empaques;21.631.004;Diseñador de empaques;21631;Diseñadores industriales y de productos
2154;Diseñadores Industriales;D-2154.006;Diseñador ergonomista;Sin clasificación en CUOC 2023;;;
2154;Diseñadores Industriales;D-2154.013;Diseñador estratégico;21.662.050;Diseñador estratégico de contenido;21662;Diseñadores de imágenes computarizadas e interacción digital
2154;Diseñadores Industriales;D-2154.014;Diseñador de iluminación;21.635.006;Diseñador de iluminación de espacios;21635;Diseñadores de iluminación
2154;Diseñadores Industriales;D-2154.016;Sistematizador de experiencias;Sin clasificación en CUOC 2023;;;
2161;Matemáticos, Estadísticos y Actuarios;D-2161.004;Asistente estadística;33.140.002;Asistente estadístico;33140;Técnicos y profesionales del nivel medio de servicios estadísticos, matemáticos y afines
2161;Matemáticos, Estadísticos y Actuarios;D-2161.010;Estadígrafo en estadística aplicada;21.200.008;Estadígrafo de estadística aplicada;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.012;Estadístico en agricultura;21.200.010;Estadístico de agricultura;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.013;Estadístico en biometría;21.200.011;Estadístico de biometría;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.014;Estadístico en ciencias físicas;21.200.012;Estadístico de ciencias físicas;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.015;Estadístico en demografía;21.200.013;Estadístico de demografía;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.016;Estadístico en economía;21.200.014;Estadístico de economía;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.017;Estadístico en educación;21.200.015;Estadístico de educación;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.018;Estadístico en finanzas;21.200.018;Estadístico de finanzas;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.019;Estadístico en investigación;21.200.019;Estadístico de investigación;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.020;Estadístico en matemático;21.200.021;Estadístico matemático;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.021;Estadístico en salud;21.200.020;Estadístico de salud;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.024;Matemático analista investigación operativa;21.200.024;Matemático analista de investigación operativa;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.025;Matemático en análisis actuarial;21.200.025;Matemático de análisis actuarial;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.026;Matemático en investigación;21.200.027;Matemático de investigación;21200;Matemáticos, actuarios y estadísticos
2161;Matemáticos, Estadísticos y Actuarios;D-2161.027;Matemático en matemática aplicada;21.200.028;Matemático de matemática aplicada;21200;Matemáticos, actuarios y estadísticos
