Código CNO;Nombre CNO;Código DEN C.N.O.;Nombre DENOM CON;NombreDENOMCON1;Código CUOC;NombreCUOC;NombreCUOC1;Código DEN CUOC;Nombre DENOM CUOC;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.031;Ingeniero proyectos construcción civil;Ingeniero proyectos construccion civil;21.420.033;Ingeniero de proyectos de construcción civil;Ingeniero de proyectos de construccion civil;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.032;Ingeniero recursos hídricos y gestión de acueductos;Ingeniero recursos hidricos y gestion de acueductos;21.420.034;Ingeniero de recursos hídricos y gestión de acueductos;Ingeniero de recursos hidricos y gestion de acueductos;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.034;Ingeniero de suelos;Ingeniero de suelos;21.420.019;Ingeniero civil de suelos;Ingeniero civil de suelos;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.035;Ingeniero transporte y vías;Ingeniero transporte y vias;21.420.038;Ingeniero de transporte y vías;Ingeniero de transporte y vias;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.036;Interventor obra;Interventor obra;21.420.046;Interventor de obra;Interventor de obra;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.037;Interventor obras civiles;Interventor obras civiles;21.420.047;Interventor de obras civiles;Interventor de obras civiles;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.038;Ingeniero proyectos de urbanismo;Ingeniero proyectos de urbanismo;21.420.018;Ingeniero civil de proyectos de urbanismo;Ingeniero civil de proyectos de urbanismo;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.039;Ingeniero de estructuras;Ingeniero de estructuras;21.420.015;Ingeniero civil de estructuras;Ingeniero civil de estructuras;21420;Ingenieros civiles;;;;;;;;
2131;Ingenieros en Construcción y Obras Civiles;D-2131.040;Ingeniero civil especialista en aeródromos;Ingeniero civil especialista en aerodromos;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.001;Diseñador motores automóviles;Diseñador motores automoviles;21.441.003;Diseñador de motores de automóviles;Diseñador de motores de automoviles;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.003;Ingeniero calefacción, ventilación y aire acondicionado;Ingeniero calefaccion, ventilacion y aire acondicionado;21.441.007;Ingeniero calefacción ventilación y aire acondicionado;Ingeniero calefaccion ventilacion y aire acondicionado;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.004;Ingeniero diseño mecánico;Ingeniero diseño mecanico;21.441.012;Ingeniero de diseño mecánico;Ingeniero de diseño mecanico;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.005;Ingeniero mantenimiento aeronaútico;Ingeniero mantenimiento aeronautico;21.443.007;Ingeniero de mantenimiento aeronáutico;Ingeniero de mantenimiento aeronautico;21443;Ingenieros aeronáuticos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.006;Ingeniero mantenimiento maquinaria industrial;Ingeniero mantenimiento maquinaria industrial;21.441.016;Ingeniero de mantenimiento de maquinaria industrial;Ingeniero de mantenimiento de maquinaria industrial;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.007;Ingeniero mantenimiento mecánico;Ingeniero mantenimiento mecanico;21.441.017;Ingeniero de mantenimiento mecánico;Ingeniero de mantenimiento mecanico;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.008;Ingeniero mantenimiento y operación maquinaria de construcción;Ingeniero mantenimiento y operacion maquinaria de construccion;21.441.018;Ingeniero de mantenimiento y operación de maquinaria de construcción;Ingeniero de mantenimiento y operacion de maquinaria de construccion;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.009;Ingeniero matricería;Ingeniero matriceria;21.441.021;Ingeniero de matricería;Ingeniero de matriceria;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.011;Ingeniero mecánico aeromecánica;Ingeniero mecanico aeromecanica;21.443.008;Ingeniero mecánico de aeromecánica;Ingeniero mecanico de aeromecanica;21443;Ingenieros aeronáuticos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.012;Ingeniero mecánico aire acondicionado;Ingeniero mecanico aire acondicionado;21.441.034;Ingeniero mecánico de aire acondicionado;Ingeniero mecanico de aire acondicionado;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.014;Ingeniero mecánico calefacción;Ingeniero mecanico calefaccion;21.441.035;Ingeniero mecánico de calefacción;Ingeniero mecanico de calefaccion;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.015;Ingeniero mecánico calefacción, ventilación y aire acondicionado;Ingeniero mecanico calefaccion, ventilacion y aire acondicionado;21.441.032;Ingeniero mecánico calefacción ventilación y aire acondicionado;Ingeniero mecanico calefaccion ventilacion y aire acondicionado;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.016;Ingeniero mecánico diseño de máquinas;Ingeniero mecanico diseño de maquinas;21.441.036;Ingeniero mecánico de diseño de máquinas;Ingeniero mecanico de diseño de maquinas;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.017;Ingeniero mecánico diseño y construcción maquinaria y herramientas industriales;Ingeniero mecanico diseño y construccion maquinaria y herramientas industriales;21.441.037;Ingeniero mecánico de diseño y construcción de maquinaria y herramientas industriales;Ingeniero mecanico de diseño y construccion de maquinaria y herramientas industriales;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.018;Ingeniero mecánico hidráulica;Ingeniero mecanico hidraulica;21.441.053;Ingeniero mecánico hidráulico;Ingeniero mecanico hidraulico;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.019;Ingeniero mecánico instalaciones de gas;Ingeniero mecanico instalaciones de gas;21.441.038;Ingeniero mecánico de instalaciones de gas;Ingeniero mecanico de instalaciones de gas;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.020;Ingeniero mecánico mantenimiento aeronáutico;Ingeniero mecanico mantenimiento aeronautico;21.443.009;Ingeniero mecánico de mantenimiento aeronáutico;Ingeniero mecanico de mantenimiento aeronautico;21443;Ingenieros aeronáuticos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.021;Ingeniero mecánico mantenimiento herramientas industriales;Ingeniero mecanico mantenimiento herramientas industriales;21.441.040;Ingeniero mecánico de mantenimiento de herramientas industriales;Ingeniero mecanico de mantenimiento de herramientas industriales;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.022;Ingeniero mecánico mantenimiento maquinaria industrial;Ingeniero mecanico mantenimiento maquinaria industrial;21.441.041;Ingeniero mecánico de mantenimiento de maquinaria industrial;Ingeniero mecanico de mantenimiento de maquinaria industrial;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.023;Ingeniero mecánico metalmecánica;Ingeniero mecanico metalmecanica;21.441.043;Ingeniero mecánico de metalmecánica;Ingeniero mecanico de metalmecanica;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.024;Ingeniero mecánico motores diésel;Ingeniero mecanico motores diesel;21.441.046;Ingeniero mecánico de motores diésel;Ingeniero mecanico de motores diesel;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.025;Ingeniero mecánico motores marinos;Ingeniero mecanico motores marinos;21.442.008;Ingeniero mecánico de motores marinos;Ingeniero mecanico de motores marinos;21442;Ingenieros navales;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.026;Ingeniero mecánico recursos energéticos;Ingeniero mecanico recursos energeticos;21.441.047;Ingeniero mecánico de recursos energéticos;Ingeniero mecanico de recursos energeticos;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.027;Ingeniero mecánico refrigeración y aire acondicionado;Ingeniero mecanico refrigeracion y aire acondicionado;21.441.049;Ingeniero mecánico de refrigeración y aire acondicionado;Ingeniero mecanico de refrigeracion y aire acondicionado;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.028;Ingeniero mecánico térmica;Ingeniero mecanico termica;21.441.050;Ingeniero mecánico de térmica;Ingeniero mecanico de termica;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.029;Ingeniero refrigeración y aire acondicionado;Ingeniero refrigeracion y aire acondicionado;21.441.027;Ingeniero de refrigeración y aire acondicionado;Ingeniero de refrigeracion y aire acondicionado;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.030;Ingeniero soldadura;Ingeniero soldadura;21.441.028;Ingeniero de soldadura;Ingeniero de soldadura;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.031;Profesional cbm mecánico (Res. 2616/2016);Profesional cbm mecanico (Res. 2616/2016);21.441.055;Profesional CBM mecánico (mantenimiento basado en condición);Profesional CBM mecanico (mantenimiento basado en condicion);21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.033;Profesional junior en integridad mecánica (Res. 2616/2016);Profesional junior en integridad mecanica (Res. 2616/2016);21.441.056;Profesional en integridad mecánica;Profesional en integridad mecanica;21441;Ingenieros mecánicos;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.034;Superintendente/ jefe/ coordinador de mantenimiento y operación (O&G) (Res. 2616/2016);Superintendente/ jefe/ coordinador de mantenimiento y operacion (O&G) (Res. 2616/2016);13.220.023;Jefe de operaciones producción de petróleo;Jefe de operaciones produccion de petroleo;13220;Directores y gerentes de producción primaria (excepto agricultura);;;;;;;;
2132;Ingenieros Mecánicos;D-2132.035;Ingeniero coordinador MCC (Maintenance Control Center);Ingeniero coordinador MCC (Maintenance Control Center);Sin clasificación en CUOC 2023;;;;;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.036;Ingeniero jefe mantenimiento aeronáutico;Ingeniero jefe mantenimiento aeronautico;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.037;Ingeniero jefe programación mantenimiento aeronáutico;Ingeniero jefe programacion mantenimiento aeronautico;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2132;Ingenieros Mecánicos;D-2132.038;Ingeniero de planeación de mantenimiento;Ingeniero de planeacion de mantenimiento;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2133;Ingenieros Electricistas;D-2133.001;Ingeniero diseño eléctrico;Ingeniero diseño electrico;21.510.005;Ingeniero de diseño eléctrico;Ingeniero de diseño electrico;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.002;Ingeniero diseño instalaciones eléctricas;Ingeniero diseño instalaciones electricas;21.510.004;Ingeniero de diseño de instalaciones eléctricas;Ingeniero de diseño de instalaciones electricas;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.003;Ingeniero distribución de energía eléctrica;Ingeniero distribucion de energia electrica;21.510.007;Ingeniero de distribución de energía eléctrica;Ingeniero de distribucion de energia electrica;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.004;Ingeniero electricidad industrial y de potencia;Ingeniero electricidad industrial y de potencia;21.510.008;Ingeniero de electricidad industrial y de potencia;Ingeniero de electricidad industrial y de potencia;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.006;Ingeniero electricista diseño instrumentación industrial;Ingeniero electricista diseño instrumentacion industrial;21.510.021;Ingeniero electricista de diseño de instrumentación industrial;Ingeniero electricista de diseño de instrumentacion industrial;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.007;Ingeniero electricista generación de energía eléctrica;Ingeniero electricista generacion de energia electrica;21.510.022;Ingeniero electricista de generación de energía eléctrica;Ingeniero electricista de generacion de energia electrica;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.008;Ingeniero electricista iluminación;Ingeniero electricista iluminacion;21.510.023;Ingeniero electricista de iluminación;Ingeniero electricista de iluminacion;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.009;Ingeniero electricista instalación y mantenimiento tendidos eléctricos;Ingeniero electricista instalacion y mantenimiento tendidos electricos;21.510.024;Ingeniero electricista de instalación y mantenimiento de tendidos eléctricos;Ingeniero electricista de instalacion y mantenimiento de tendidos electricos;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.010;Ingeniero electricista líneas eléctricas;Ingeniero electricista lineas electricas;21.510.025;Ingeniero electricista de líneas eléctricas;Ingeniero electricista de lineas electricas;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.011;Ingeniero electricista producción de energía eléctrica;Ingeniero electricista produccion de energia electrica;21.510.026;Ingeniero electricista de producción de energía eléctrica;Ingeniero electricista de produccion de energia electrica;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.012;Ingeniero electricista transporte y distribución de energía;Ingeniero electricista transporte y distribucion de energia;21.510.027;Ingeniero electricista de transporte y distribución de energía;Ingeniero electricista de transporte y distribucion de energia;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.013;Ingeniero electromecánica;Ingeniero electromecanica;21.510.009;Ingeniero de electromecánica;Ingeniero de electromecanica;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.016;Ingeniero eléctrico producción energía;Ingeniero electrico produccion energia;21.510.029;Ingeniero eléctrico de producción de energía;Ingeniero electrico de produccion de energia;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.017;Ingeniero mantenimiento eléctrico;Ingeniero mantenimiento electrico;21.510.015;Ingeniero de mantenimiento eléctrico;Ingeniero de mantenimiento electrico;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.018;Ingeniero redes eléctricas;Ingeniero redes electricas;21.510.016;Ingeniero de redes eléctricas;Ingeniero de redes electricas;21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.019;Profesional cbm eléctrico (Res. 2616/2016);Profesional cbm electrico (Res. 2616/2016);21.510.033;Profesional CBM eléctrico (mantenimiento basado en condición);Profesional CBM electrico (mantenimiento basado en condicion);21510;Ingenieros electricistas;;;;;;;;
2133;Ingenieros Electricistas;D-2133.021;Profesional de confiabilidad (Res. 2616/2016);Profesional de confiabilidad (Res. 2616/2016);21.510.035;Profesional de confiabilidad industrial petróleo y gas;Profesional de confiabilidad industrial petroleo y gas;21510;Ingenieros electricistas;;;;;;;;
2134;Ingenieros  Electrónicos;D-2134.015;Ingeniero electrónico de diseño e instrumentación industrial;Ingeniero electronico de diseño e instrumentacion industrial;21.522.013;Ingeniero electrónico de diseño de instrumentación industrial;Ingeniero electronico de diseño de instrumentacion industrial;21522;Ingenieros de automatización e instrumentación;;;;;;;;
2134;Ingenieros  Electrónicos;D-2134.034;Profesional junior cbm (Res. 2616/2016);Profesional junior cbm (Res. 2616/2016);21.510.034;Profesional CBM electromecánico (mantenimiento basado en condición);Profesional CBM electromecanico (mantenimiento basado en condicion);21510;Ingenieros electricistas;;;;;;;;
2134;Ingenieros  Electrónicos;D-2134.035;Ingeniero de seguridad electrónica;Ingeniero de seguridad electronica;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2135;Ingenieros Químicos;D-2135.002;Ingeniero petroquímica;Ingeniero petroquimica;21.450.008;Ingeniero de petroquímica;Ingeniero de petroquimica;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.003;Ingeniero procesamiento químico;Ingeniero procesamiento quimico;21.450.012;Ingeniero de procesamiento químico;Ingeniero de procesamiento quimico;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.004;Ingeniero procesamiento refinería petróleo;Ingeniero procesamiento refineria petroleo;21.450.011;Ingeniero de procesamiento de refinería de petróleo;Ingeniero de procesamiento de refineria de petroleo;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.005;Ingeniero procesos químicos industriales;Ingeniero procesos quimicos industriales;21.450.015;Ingeniero de procesos químicos industriales;Ingeniero de procesos quimicos industriales;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.006;Ingeniero proyectos químicos;Ingeniero proyectos quimicos;21.450.018;Ingeniero de proyectos químicos;Ingeniero de proyectos quimicos;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.008;Ingeniero químico alimentos y bebidas;Ingeniero quimico alimentos y bebidas;21.450.024;Ingeniero químico de alimentos y bebidas;Ingeniero quimico de alimentos y bebidas;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.009;Ingeniero químico carburantes;Ingeniero quimico carburantes;21.450.026;Ingeniero químico de carburantes;Ingeniero quimico de carburantes;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.010;Ingeniero químico caucho;Ingeniero quimico caucho;21.450.027;Ingeniero químico de caucho;Ingeniero quimico de caucho;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.011;Ingeniero químico colores y pinturas;Ingeniero quimico colores y pinturas;21.450.028;Ingeniero químico de colores y pinturas;Ingeniero quimico de colores y pinturas;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.012;Ingeniero químico fibras textiles;Ingeniero quimico fibras textiles;21.450.029;Ingeniero químico de fibras textiles;Ingeniero quimico de fibras textiles;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.013;Ingeniero químico investigación;Ingeniero quimico investigacion;21.450.030;Ingeniero químico de investigación;Ingeniero quimico de investigacion;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.014;Ingeniero químico medio ambiente;Ingeniero quimico medio ambiente;21.450.031;Ingeniero químico de medio ambiente;Ingeniero quimico de medio ambiente;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.015;Ingeniero químico papel;Ingeniero quimico papel;21.450.033;Ingeniero químico de papel;Ingeniero quimico de papel;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.016;Ingeniero químico petróleo y gas natural;Ingeniero quimico petroleo y gas natural;21.450.034;Ingeniero químico de petróleo y gas natural;Ingeniero quimico de petroleo y gas natural;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.017;Ingeniero químico plásticos;Ingeniero quimico plasticos;21.450.035;Ingeniero químico de plásticos;Ingeniero quimico de plasticos;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.018;Ingeniero químico procesamiento;Ingeniero quimico procesamiento;21.450.036;Ingeniero químico de procesamiento;Ingeniero quimico de procesamiento;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.019;Ingeniero químico producción;Ingeniero quimico produccion;21.450.038;Ingeniero químico de producción;Ingeniero quimico de produccion;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.020;Ingeniero químico refinería petróleo;Ingeniero quimico refineria petroleo;21.450.039;Ingeniero químico de refinería de petróleo;Ingeniero quimico de refineria de petroleo;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.030;Ingeniero químico de soporte;Ingeniero quimico de soporte;21.450.058;Ingeniero de soporte químico;Ingeniero de soporte quimico;21450;Ingenieros químicos;;;;;;;;
2135;Ingenieros Químicos;D-2135.032;Analista de laboratorio de combustibles;Analista de laboratorio de combustibles;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2136;Ingenieros de Automatización e Instrumentación;D-2136.005;Ingenieros de instrumentación y control de procesos;Ingenieros de instrumentacion y control de procesos;21.522.009;Ingeniero de instrumentación y control de procesos;Ingeniero de instrumentacion y control de procesos;21522;Ingenieros de automatización e instrumentación;;;;;;;;
2136;Ingenieros de Automatización e Instrumentación;D-2136.006;Ingeniero de automatización/ instrumentación y control (O&G) (Res. 2616/2016);Ingeniero de automatizacion/ instrumentacion y control (O&G) (Res. 2616/2016);21.522.005;Ingeniero de automatización/ instrumentación y control;Ingeniero de automatizacion/ instrumentacion y control;21522;Ingenieros de automatización e instrumentación;;;;;;;;
2137; Ingenieros  de Telecomunicaciones;D-2137.011;Especialista de seguimiento en radares;Especialista de seguimiento en radares;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.002;Ingeniero asesor organización industrial;Ingeniero asesor organizacion industrial;21.410.004;Ingeniero asesor de organización industrial;Ingeniero asesor de organizacion industrial;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.003;Ingeniero calidad;Ingeniero calidad;21.410.005;Ingeniero de calidad;Ingeniero de calidad;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.004;Ingeniero control de calidad;Ingeniero control de calidad;21.410.006;Ingeniero de control de calidad;Ingeniero de control de calidad;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.005;Ingeniero estudio de tiempos y movimientos;Ingeniero estudio de tiempos y movimientos;21.410.010;Ingeniero de estudio de tiempos y movimientos;Ingeniero de estudio de tiempos y movimientos;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.006;Ingeniero fabricación;Ingeniero fabricacion;21.410.012;Ingeniero de fabricación;Ingeniero de fabricacion;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.010;Ingeniero industrial logística de producción y distribución;Ingeniero industrial logistica de produccion y distribucion;21.410.030;Ingeniero industrial de logística de producción y distribución;Ingeniero industrial de logistica de produccion y distribucion;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.011;Ingeniero industrial manufactura;Ingeniero industrial manufactura;21.410.031;Ingeniero industrial de manufactura;Ingeniero industrial de manufactura;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.012;Ingeniero industrial planta;Ingeniero industrial planta;21.410.033;Ingeniero industrial de planta;Ingeniero industrial de planta;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.014;Ingeniero organización industrial;Ingeniero organizacion industrial;21.410.015;Ingeniero de organización industrial;Ingeniero de organizacion industrial;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.015;Ingeniero organización y métodos;Ingeniero organizacion y metodos;21.410.016;Ingeniero de organización y métodos;Ingeniero de organizacion y metodos;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.016;Ingeniero planta producción;Ingeniero planta produccion;21.410.018;Ingeniero de planta de producción;Ingeniero de planta de produccion;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.017;Ingeniero procesos industriales;Ingeniero procesos industriales;21.410.022;Ingeniero de procesos industriales;Ingeniero de procesos industriales;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.018;Ingeniero seguridad e higiene ocupacional;Ingeniero seguridad e higiene ocupacional;21.499.012;Ingeniero de seguridad e higiene ocupacional;Ingeniero de seguridad e higiene ocupacional;21499;Ingenieros no clasificados en otras ocupaciones;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.020;Ingeniero seguridad industrial y ambiental;Ingeniero seguridad industrial y ambiental;21.499.014;Ingeniero de seguridad industrial y ambiental;Ingeniero de seguridad industrial y ambiental;21499;Ingenieros no clasificados en otras ocupaciones;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.031;Consultor de mejoramiento de la productividad y el rendimiento;Consultor de mejoramiento de la productividad y el rendimiento;21.410.041;Consultor de mejoramiento de la productividad;Consultor de mejoramiento de la productividad;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.033;Coordinador de planeación de la producción;Coordinador de planeacion de la produccion;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.034;Coordinador producción;Coordinador produccion;Sin clasificación en CUOC 2023;;;;;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.037;Ingeniero industrial de soporte;Ingeniero industrial de soporte;21.410.044;Ingeniero de soporte industrial;Ingeniero de soporte industrial;21410;Ingenieros industriales y de producción;;;;;;;;
2141;Ingenieros Industriales y de Fabricación;D-2141.038;Ingeniero industrial desarrollador de productos;Ingeniero industrial desarrollador de productos;21.410.045;Ingeniero desarrollador de productos industriales;Ingeniero desarrollador de productos industriales;21410;Ingenieros industriales y de producción;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.002;Ingeniero cerámica;Ingeniero ceramica;21.491.003;Ingeniero de cerámicas;Ingeniero de ceramicas;21491;Ingenieros de materiales;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.003;Ingeniero en materiales;Ingeniero en materiales;21.491.005;Ingeniero de materiales;Ingeniero de materiales;21491;Ingenieros de materiales;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.004;Ingeniero fundición;Ingeniero fundicion;21.462.001;Ingeniero de fundición;Ingeniero de fundicion;21462;Ingenieros metalúrgicos;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.005;Ingeniero metalúrgia;Ingeniero metalurgia;21.462.002;Ingeniero de metalurgia;Ingeniero de metalurgia;21462;Ingenieros metalúrgicos;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.007;Ingeniero metalúrgico producción y afino de metales;Ingeniero metalurgico produccion y afino de metales;21.462.006;Ingeniero metalúrgico de producción y afino de metales;Ingeniero metalurgico de produccion y afino de metales;21462;Ingenieros metalúrgicos;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.008;Ingeniero metalúrgico tratamiento de metales;Ingeniero metalurgico tratamiento de metales;21.462.007;Ingeniero metalúrgico de tratamiento metales;Ingeniero metalurgico de tratamiento metales;21462;Ingenieros metalúrgicos;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.009;Ingeniero producción y afino de metales;Ingeniero produccion y afino de metales;21.462.003;Ingeniero de producción y afino de metales;Ingeniero de produccion y afino de metales;21462;Ingenieros metalúrgicos;;;;;;;;
2142;Ingenieros de Materiales y Metalurgia;D-2142.010;Ingeniero siderurgia;Ingeniero siderurgia;21.462.004;Ingeniero de siderurgia;Ingeniero de siderurgia;21462;Ingenieros metalúrgicos;;;;;;;;
2143;Ingenieros de Minas;D-2143.002;Ingeniero de minas explotación;Ingeniero de minas explotacion;21.461.004;Ingeniero de minas de explotación;Ingeniero de minas de explotacion;21461;Ingenieros de minas;;;;;;;;
2143;Ingenieros de Minas;D-2143.003;Ingeniero de minas explotación metales;Ingeniero de minas explotacion metales;21.461.005;Ingeniero de minas de explotación de metales;Ingeniero de minas de explotacion de metales;21461;Ingenieros de minas;;;;;;;;
